SMILES,TTR binding activity
CC1=CC[C@H]2C[C@@H]1C2(C)C,11.6954333
CC[C@H](C)[C@H](N1SC2=CC=CC=C2C1=O)C(O)=O,13.58586716
CCCCCC[C@@H](O)C/C=C\CCCCCCCC(O)=O,88.58071115
Cl/C=C/Cl,3.066264674
NC1=C(Cl)C=C(C=C1Cl)[N+]([O-])=O,99.77857893
FC1=CC=C(Br)C=C1,12.76293436
CCCCCCCCCCCCCCCO,-12.10962915
OCCN1CCNCC1,6.568734364
CN(C)N,17.1907829
[Cl-].C[N+]1(C)CCCCC1,27.50852547
ClCC(Cl)CCl,10.70079458
NCC1=CC(CN)=CC=C1,-4.52199394
OC(CCl)CCl,1.731827396
CC(C)C1=CC(=CC=C1)C(C)C,21.53852357
OCNC(=O)NCO,13.3282559
CCCCC(CC)COCCO,27.39115415
O=CC(CC1=CC=C(C(C)(C)C)C=C1)C,78.93843029
OCC(CO)(CO)[N+]([O-])=O,11.44086022
S1C=2C(N=C1SC(SC#N)([H])[H])=C(C(=C(C2[H])[H])[H])[H],96.1798647
CC(C)(CS(O)(=O)=O)NC(=O)C=C,1.340730467
COC1=CC=CC=C1N,52.25730398
ClCC(=O)NC1=CC=CC=C1,27.63407157
CCOCCO,-23.54424203
CCCCC(CC)C=O,5.541245624
CCCCC(CC)COC(=O)C1=CC=C(C=C1)N(C)C,45.81324631
OC(=O)CF,23.34705993
CCCCCCCCC(CO)CCCCCC,27.78831504
CC(C)(O)C#N,17.39541759
CC(C)C1=C(O)C=CC=C1,85.84807142
COC1=CC(=CC=C1N)[N+]([O-])=O,98.78113243
O=C1OC(=O)C2C3CC(C=C3)C12,5.296084208
CC(C)(C)C1=C(O)C=CC=C1,68.2942369
CC(C)(CO)CO,13.95437747
O1C=CC2=C1C=CC=C2,24.42513756
CCCCOC(=O)COC1=C(Cl)C=C(Cl)C=C1,80.36463566
CC(C)(C)C1=CC(=C(O)C=C1)C(C)(C)C,95.10694813
CC1=CC=C(C)C(=C1)S(O)(=O)=O,41.54081266
CC1=CC(O)=C(C)C=C1,75.15746097
CC(C)CCCC(C)(C)O,12.51616822
CC1=CC=CC(C)=C1N,43.11033884
CC1=C(C=CC=C1[N+]([O-])=O)[N+]([O-])=O,62.33371891
OCC(O)CCl,13.82537201
CC1=C(Cl)C=C(N)C=C1,77.07181467
CC1=CC(N)=CC=C1,22.97129385
CC1=CC=CN=C1,21.72913313
OCC=CC1=CC=CC=C1,23.72947381
CC(CCOC(C)=O)CC(C)(C)C,10.05837449
BrC1=CC=C(OC(=O)N2CCN3CCC2CC3)C=C1,-2.65643261
CCCCOC1=CC=C(N)C=C1,61.68164509
NC1=CC=C(Cl)C=C1,47.91314244
OC1CCC(CC1)C2CCCCC2,82.66215692
CCC(=C(C1=CC=C(O)C=C1)C2=CC=C(OCCN(C)C)C=C2)C3=CC=CC=C3,4.826103947
COC1=CC=C(O)C=C1,21.41267072
CN1CCOCC1,19.68054397
NCCCN1CCOCC1,7.328752215
CCCC1=CC=C(N)C=C1,35.16247601
C1=CC(=CC=N1)C2=CC=NC=C2,36.58913468
ClC1=CC=C(C=C1)S(=O)(=O)C2=CC=C(Cl)C=C2,32.24124406
CCC1=CC(CC2=CC(CC)=C(N)C(CC)=C2)=CC(CC)=C1N,43.36185941
CN1SC(Cl)=CC1=O,11.55946256
NC1=NC2=C(NC=N2)C(=S)N1,11.88592199
C=CC#N,79.83144095
C=CCN=C=S,11.238935
CC1=CCC2CC1C2(C)C,14.6862403
CCC1(CCC(=O)NC1=O)C2=CC=C(N)C=C2,11.27842345
O[C@@H]([C@@H](O)CO)[C@@H](O)C=O,10.02933917
OC(=O)C1CCN(CC1)C2=C(NC(=O)NC(=O)C3=CC(F)=C(F)C=C3Cl)C=C(F)C=C2,21.4705986
CC1COC2=C(C=CC=C2)N1C(=O)C(Cl)Cl,31.68089716
COC1=CC=C(C=C1)C2=COC3=C(C(O)=CC(O)=C3)C2=O,100.6343086
OC1=C(Br)C=C(C=C1Br)C2(OS(=O)(=O)C3=C2C=CC=C3)C4=CC(Br)=C(O)C(Br)=C4,102.2260995
CC(C)N1C(SCN(C1=O)C2=CC=CC=C2)=NC(C)(C)C,61.37356636
CCC(C)NC1=C(C=C(C=C1[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O,73.41149411
CCCCOC(=O)[C@H](C)O,4.72227726
CCCCOC(=O)C(C)O,-11.80964179
CCCC[Sn](Cl)(Cl)Cl,6.38855459
[Na+].COC1=CC=C(C=C1)N=NC2=C(OC)C=C(N=NC3=CC=C(C=C3)S([O-])(=O)=O)C(C)=C2,111.1218796
[Na+].OC1=C(N=NC2=CC=C(C=C2)S([O-])(=O)=O)C3=CC=CC=C3C=C1,110.3122556
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,-3.242788835
CC(=O)C1=CC2=C(OC(C)(C)[C@H](O)[C@H]2NC(=O)C3=CC=C(F)C=C3)C=C1,12.45714286
COC1=CC(Cl)=C(OC)C=C1Cl,86.96613872
CC(C)=CCCC(C)=CC#N,50.73414839
ClC1=CC=CC=C1C2=NN=C(N=N2)C3=C(Cl)C=CC=C3,60.08369805
NCCO.OC(=O)C1=C(Cl)C=CC(Cl)=N1,20.81649372
O=C1OC2=C(C=CC=C2)C=C1,19.72643528
ClC=1C=C2N(C(=O)C(C2=CC1F)C(=O)C=3SC=C(Cl)C3)C(=O)N,104.9348849
COC1=C(CN[C@H]2CCCN[C@H]2C3=CC=CC=C3)C=C(OC(F)(F)F)C=C1,5.164777908
CC(C)(O)C1=COC(=C1)S(=O)(=O)NC(=O)NC2=C3CCCC3=CC4=C2CCC4,35.03390378
CNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1N)N2C=NC3=C2N=CN=C3NCC4=CC(Cl)=CC=C4OCC5=CC(C)=NO5,5.832623947
CC(C)(OO)C1=CC=CC=C1,44.22230313
NC#N,3.603488484
NC(=N)NC#N,10.84854327
OC1=NC(O)=NC(O)=N1,8.176918199
OC1CCCCC1,5.818678081
OC1CCCC1,9.231420707
CC(C1CC1)C(O)(CN2C=NC=N2)C3=CC=C(Cl)C=C3,44.1124534
CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@]12C)C(C)=O,8.734220403
OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,3.526002745
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,-10.73015873
O[C@@H]([C@H](O)CO)[C@@H](O)C=O,-0.343225203
CCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,60.44092833
BrC(Br)C#N,-2.603174603
ClC1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O,92.68395403
OC(=O)C(Cl)Cl,10.35384463
COP(=O)(OC)O/C(/C)=C/C(=O)N(C)C,8.167667941
CCOC(=O)CC(=O)OCC,8.336183576
COCCOCCOC,7.092547596
COC1=C(OC)C=C(C=C1)C(=CC(=O)N2CCOCC2)C3=CC=C(Cl)C=C3,32.11592903
COP(=O)OC,11.10342729
CNC,2.714483852
CCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC,14.46575501
CN(C)C(=O)C(C1=CC=CC=C1)C2=CC=CC=C2,8.21650457
[Hg](C1=CC=CC=C1)C2=CC=CC=C2,0.52557329
C[Si](C)(O[Si](C)(C)C=C)C=C,10.80857354
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,15.86082522
CCCCCCCCCCCC(O)=O,98.94099567
O=C(OCC1CCC2OC2C1)C3CCC4OC4C3,4.024137931
CN([C@H]1CC[C@@]2(CCCO2)C[C@@H]1N3CCCC3)C(=O)CC4=CC=CC5=C4C=CO5,5.575556759
CCCN(CCC)C(=O)SCC,24.28323896
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,96.31702473
CCCSP(=O)(OCC)SCCC,24.58492627
CCOC(=O)C1=CC=C(C)C=C1,6.593028457
CCOC(=O)C1=NOC(C1)(C2=CC=CC=C2)C3=CC=CC=C3,75.03377386
CCCC(=O)OCC,-0.643918878
CCOC(=O)C1OC1(C)C2=CC=CC=C2,36.90752906
[Na+].[Fe+3].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O,9.537897999
CC1(OC(=O)N(NC2=CC=CC=C2)C1=O)C3=CC=C(OC4=CC=CC=C4)C=C3,66.56265898
CCOC(=O)C(C)OC1=CC=C(OC2=NC3=C(O2)C=C(Cl)C=C3)C=C1,80.36824275
CCOC(=O)[C@@H](C)OC1=CC=C(OC2=NC3=C(O2)C=C(Cl)C=C3)C=C1,65.07854202
CC1(C)C(C(=O)OC(C#N)C2=CC=CC(OC3=CC=CC=C3)=C2)C1(C)C,61.22151526
CN1N=C(C)C(C=NOCC2=CC=C(C=C2)C(=O)OC(C)(C)C)=C1OC3=CC=CC=C3,26.57892215
[Na+].COC1=NN(C(=O)[N-]S(=O)(=O)C2=C(OC(F)(F)F)C=CC=C2)C(=O)N1C,90.00580897
Cl.CNC(=O)OC1=CC=CC(=C1)N=CN(C)C,13.87244071
O=CCCCC=O,0.307490223
C[Si](C)(C)N[Si](C)(C)C,5.376452754
ClC1=CC(Cl)=C(C=C1)C(CN2C=CN=C2)OCC=C,40.52732361
COCC1=CN=C(C2=NC(C)(C(C)C)C(=O)N2)C(=C1)C(O)=O,4.781540142
CC(C)C1CCC(CC2=CC=C(Cl)C=C2)C1(O)CN3C=NC=N3,-20.94502348
CC(C)NC(=O)N1CC(=O)N(C1=O)C2=CC(Cl)=CC(Cl)=C2,99.24209985
CC(C)CCOC(=O)C1=CC=CC=C1,34.52204268
CC1=CC(=O)CC(C)(C)C1,26.14797136
CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)C(C)C)[N+]([O-])=O,82.15626066
CS(=O)(=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C2=C(ON=C2)C3CC3,68.1409764
OC[C@H](O)[C@H](O)[C@@H](O)[C@H](O)CO,5.197498856
CCCCCCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1,79.44753242
CC(=C)C1CCC(C)=CC1,5.712964798
COC1=CC2=C(NC=C2CCNC(C)=O)C=C1,23.25688708
CC(C)C1CCC(C)CC1O,14.39590596
[Na+].CNC([S-])=S,28.72365223
SC(=S)NC.[Na].O,36.55879628
COC(=O)C1=C(C)C=CC=C1,15.10844513
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC,85.21879589
N#CSCSC#N,32.23201175
COC(=O)C=C(C)OP(=O)(OC)OC,13.65691376
OC(=O)C1=C(C=CC=C1)C(=O)OCC2=CC=CC=C2,70.69078615
CCCCC(CN1C=NC=N1)(C#N)C2=CC=C(Cl)C=C2,38.31732968
O=C1N(SC2CCCCC2)C(=O)C3=C1C=CC=C3,59.83259912
CCCCNS(=O)(=O)C1=CC=C(C)C=C1,18.45559151
CCNC1=CC(C)=CC=C1,13.29528335
O=NN1CCCC1,8.039673978
[Cl-].CCCC[N+](C)(CCCC)CCCC,12.15457387
CN(C)C(C)=O,18.58873578
CN(C)C1=CC=CC=C1,26.00625244
NC(=O)C1=CC=CN=C1,0.420542883
CO[C@@H]1[C@@H](CC[C@]2(CO2)[C@H]1[C@@]3(C)O[C@@H]3CC=C(C)C)OC(=O)NC(=O)CCl,-19.68082884
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,4.638518977
Cl.COC1=CC=C(N)C=C1,19.36512646
CC1=CC=C(O)C=C1,20.40143369
CCCCN(CC)C(=O)SCCC,2.28283676
CC1=C2N=C(C3=CC=CC=C3Cl)C4=C(NC2=NN1)C=CC(=C4)[N+]([O-])=O,89.9090277
[Na+].FC1=CC=C(C(=O)[N-]S(=O)(=O)/C=C/C2=CC=CC=C2)C(Cl)=C1,92.73029214
[K+].CCCCC(CC)C([O-])=O,22.60326922
C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,102.5733648
CCCN(CCC)C1=C(C(N)=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,106.5983528
CC(C)N(C(=O)CCl)C1=CC=CC=C1,13.39382036
[Na+].CCCOC1=NN(C(=O)[N-]S(=O)(=O)C2=C(C=CC=C2)C(=O)OC)C(=O)N1C,52.288918
Cl.CC1=NC=C(CO)C(CO)=C1O,-2.283661556
O=C1NS(=O)(=O)C2=C1C=CC=C2,40.89736016
C=CCC1=CC=C2OCOC2=C1,26.10752688
CCNC1=NC(NCC)=NC(Cl)=N1,0.686404478
[Na+].[O-]C1=CC=C(C=C1)[N+]([O-])=O,97.1758665
[Na+].CCCCCCCCCOS([O-])(=O)=O,94.58724751
O.[Na+].O=C1[N-]S(=O)(=O)C2=CC=CC=C12,37.2942923
CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](O)[C@H]1OC[C@H](O)[C@H]1O,55.54733467
CC1=CC(C)=C(C2=C(OC(=O)CC(C)(C)C)C3(CCCC3)OC2=O)C(C)=C1,51.05135721
C1OC1C2=CC=CC=C2,18.24331466
OC(=O)C1=CC(=CC=C1O)N=NC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CC=C3,109.3334172
CC1=NN(C(=O)N1C(F)F)C2=CC(NS(C)(=O)=O)=C(Cl)C=C2Cl,79.39662771
CCOP(=S)(OC(C)C)OC1=CN=C(N=C1)C(C)(C)C,46.68704712
CC1=C(F)C(F)=C(COC(=O)C2C(/C=C(\Cl)/C(F)(F)F)C2(C)C)C(F)=C1F,23.83603647
OC(=O)CS,9.517613766
NC(N)=S,23.12943292
CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl,46.64050726
CCCCOCCOC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=N1,51.77982751
CCO[Si](C)(OCC)OCC,25.7819104
COCCOCCOCCOC,1.544071021
OC(=O)C1=CC=C2C(=O)OC(=O)C2=C1,5.072413793
CCCCC(CC)COC(=O)C1=CC=C(C(=O)OCC(CC)CCCC)C(=C1)C(=O)OCC(CC)CCCC,34.43591963
CCCC(CCC)C(O)=O,5.521064942
CCCSC(=O)N(CCC)CCC,10.38817246
FC1(F)/C(=C\C(=O)N2CCC(N3CCCCC3)CC2)/C=4C(N(CC1)C(=O)C5=CC=C(NC(=O)C6=C(OC=C6)C)C=C5)=CC=CC4.FC1(F)/C(=C\C(=O)N2CCC(N3CCCCC3)CC2)/C=4C(N(CC1)C(=O)C5=CC=C(NC(=O)C6=C(OC=C6)C)C=C5)=CC=CC4.OC(=O)/C=C/C(O)=O,-3.819957328